id,name,submarket_id
898,CA: Palm Springs,52
899,CA: Indio,52
1181,CA: Lancaster,52
1182,CA: Victorville / Hesperia / Apple Valley,52
3259,CA: Beaumont/Banning,52
6860,CA: Norco,52
6861,CA: Palmdale,52
6862,CA: Kaiser,52
6863,CA: Jurupa Valley,52
13230,DON'T USE!!,52
15911,CA: Lake ArrowHead And Mountain Towns,52
766,CA: Stockton,83
767,CA: Tracy/Manteca,83
768,CA: Modesto,83
896,CA: Turlock,83
897,CA: Merced,83
841,FRES: Downtown Fresno (Inactive),87
842,CA: Fresno,87
843,FRES: East Fresno (Inactive),87
2433,CA: Visalia / Tulare,87
3851,CA: Madera,87
3855,CA: Porterville,87
3950,CA: Selma/Dinuba/Reedley/Kingsburg,87
5681,CA: Lemoore,87
831,CA: Oxnard,88
832,CA: Ventura,88
833,CA: Santa Barbara,88
834,Inactive,88
835,Inactive,88
837,CA: Camarillo,88
1744,CA: San Luis Obispo,88
1745,CA: Santa Maria,88
3431,CA: Paso Robles / Atascadero,88
3631,CA: Lompoc,88
3632,CA: Arroyo Grande/Pismo Beach,88
5689,CA: Santa Paula,88
912,CA: Santa Cruz,101
913,INACTIVE - MB: Watsonville,101
1280,CA: Salinas,101
1281,CA: Monterey,101
1215,CA: Bakersfield,233
4932,CA: Arvin,233
3240,CA: El Centro/Calexico/Citrus View,908
3554,CA: Eureka/Arcata,992
5682,CA: Fortuna,992
4054,CA: Hollister,1205
14860,Delete Me Please,1205
15263,Wing Test Starting Point,1205
4521,CA: Delano,1544
4520,CA: Los Banos,1586
5771,INACTIVE SF: San Francisco W10,1586
14032,T888,1586
14612,test,1586
14861,Test SP for delete,1586
14978,Delete This,1586
15120,Test perm,1586
4522,CA: Barstow,1692
4877,CA: Buellton,1819
4895,CA: Patterson,1833
4898,CA: Wasco/Shafter,1836
4958,CA: Glenbrook,1892
4962,CA: Ridgecrest,1896
4980,CA: Sonora,1916
4987,CA: Yucca Valley,1918
4988,CA: Twentynine Palms,1918
5024,CA: Oroville,1962
5028,CA: Ramona,1963
5251,CA: Chowchilla,2067
5248,CA: Red Bluff,2068
5250,CA: Kerman,2069
5246,CA: Martell,2071
5249,CA: Coalinga,2072
13217,"(Coming Soon Expansion) Avenal, CA",2072
5305,CA: Tehachapi,2106
5304,CA: Taft,2107
5252,CA: Truckee,2121
5306,CA: Big Bear Lake,2122
5320,CA: Paradise,2147
5688,CA: Blythe,2230
5690,CA: Ojai,2231
5691,CA: Morro Bay,2235
6128,CA: Wheeler Ridge,2312
10329,CA: Crescent City,5133
10233,(DO NOT USE) CA: Alpine,5145
10234,CA: Alpine,5145
10330,CA: Corning,5152
13216,"(Coming Soon Expansion) Orland, CA",5152
10231,(DO NOT USE) CA: Rosamond,5161
10232,CA: Rosamond,5161
10230,CA: Fillmore,5162
10331,CA: Soledad,5164
10332,CA: Susanville,5199
10333,CA: Clearlake,5212
10334,CA: King City,5218
10335,CA: Corcoran,5303
10741,CA: Cloverdale,5502
10950,CA: Willits,5667
11431,CA: Oakhurst,5735
11820,CA: Mariposa,5736
11563,CA: California City,5989
11430,CA: Lakeport,5990
11428,CA: Bishop,5991
11433,CA: Waterford--DONT USE,5992
11434,CA: Waterford,5992
11477,CA: Firebaugh,5993
11429,CA: Gridley,5994
11432,CA: Rio Vista,5995
11670,CA: Willows,6404
11819,CA: Fort Bragg,6540
11821,CA: Yreka,6541
11822,CA: Mammoth Lakes,6542
11854,CA: Fort Irwin,6575
12670,"Travis AFB - Base access required, no visitor passes issued",6987
12715,Edwards AFB - Base Credentials Req'd,7055
13257,"Weed, CA",7528
13258,"(Postponed) Williams, CA – don't use",7533
13826,"Mount Shasta, CA",7754
13857,"Lake Isabella, CA",7755
13827,Quincy CA,7756
14674,"Alturas, CA",8073
14675,"Angels Camp, CA",8074
15779,test,8074
14853,"Angwin, CA",8075
14755,"Anza, CA",8076
14854,"Auberry, CA",8077
14754,"Avalon, CA",8078
14875,"Browns Valley, CA",8079
14676,"Burney, CA",8080
14756,"Campo, CA",8081
14981,"Covelo, CA",8082
14979,"Dorrington, CA",8083
14877,"Fort Jones, CA",8084
14858,"Groveland, CA",8085
14859,"Hoopa, CA",8087
14757,"Julian, CA",8088
14980,"La Grange, CA",8089
14758,"Newberry Springs, CA",8090
14759,"Ocotillo Wells, CA",8091
14857,"Portola, CA",8092
14852,"Shingletown, CA",8094
14855,"Weaverville, CA",8097
14856,"Westwood, CA",8098
14807,"Baker, CA",9088
14876,"Colusa, CA",9105
14874,"Gustine, CA",9106
15251,LAX Airport Starting Point (Pickup Only),9228
